Columna,Proporci贸n 2019,Proporci贸n 2024,Diferencia de proporciones,P-value,Intervalo de confianza (95%),Progreso
"A lo largo de tu carrera en INVAP, 驴has experimentado alguna vez una situaci贸n de violencia hacia vos?",0.325800377,0.254658385,-0.071141992,0.024691264,"(-0.13321829943763303, -0.0090656836717002)",Disminucin
Edad (disc),0.103578154,0.180124224,0.076546069,0.002355936,"(0.02721528326492259, 0.12587685508882226)",Aumento
Discapacidad,0.007532957,0.01863354,0.011100584,0.187299279,"(-0.005399163714437275, 0.027600331088780777)",Nulo
Sexo/Genero,0.020715631,0.040372671,0.01965704,0.118465549,"(-0.005020091315219837, 0.04433417115988185)",Nulo
Orientaci贸n Sexual,0.015065913,0.040372671,0.025306757,0.037677318,"(0.0014414889048580543, 0.04917202596805255)",Aumento
Religi贸n,0.020715631,0.049689441,0.02897381,0.033084841,"(0.0023261174586193256, 0.055621502758713484)",Aumento
Orientaci贸n pol铆tica,0.131826742,0.295031056,0.163204314,2.69E-08,"(0.10567817090237877, 0.22073045690639645)",Aumento
Origen Social,0.043314501,0.068322981,0.02500848,0.132045241,"(-0.007536632615875949, 0.05755359346555604)",Nulo
Relaci贸n de parentezco,0.020715631,0.040372671,0.01965704,0.118465549,"(-0.005020091315219837, 0.04433417115988185)",Nulo
Formaci贸n Academica,0.190207156,0.232919255,0.042712098,0.141726569,"(-0.014259894023566352, 0.09968409072263411)",Nulo
TestigoI,0.404896422,0.322981366,-0.081915055,0.014943327,"(-0.14788345071769254, -0.015946660054201575)",Disminucin
TestigoII,0.404896422,0.329192547,-0.075703875,0.024923885,"(-0.1418673309735854, -0.009540419549861512)",Disminucin
VictimasI,0.608286252,0.425465839,-0.182820414,1.44E-07,"(-0.2509378898829152, -0.11470293780654914)",Disminucin
VictimasII,0.5913371,0.372670807,-0.218666292,1.98E-10,"(-0.2860259625710092, -0.15130662214551058)",Disminucin
VL1,0.391713748,0.236024845,-0.155688903,9.49E-07,"(-0.21793799294340888, -0.09343981290749938)",Disminucin
VL2,0.171374765,0.108695652,-0.062679112,0.008557171,"(-0.10940288693003461, -0.015955337912346483)",Disminucin
VL3,0.175141243,0.133540373,-0.04160087,0.097808288,"(-0.09085040457473659, 0.007648664040645285)",Nulo
VL4,0.030131827,0.031055901,0.000924074,0.939551422,"(-0.022959134296391334, 0.024807282054634894)",Nulo
VL5,0.071563089,0.077639752,0.006076663,0.744449392,"(-0.03046091295133286, 0.042614239032440805)",Nulo
VL6,0.131826742,0.133540373,0.001713631,0.943022738,"(-0.04527947955430721, 0.0487067409034551)",Nulo
VL7,0.056497175,0.099378882,0.042881707,0.027482853,"(0.004758251884134132, 0.08100516180853526)",Aumento
VL8,0.195856874,0.062111801,-0.133745073,9.33E-10,"(-0.17657453518788696, -0.09091560997359198)",Disminucin
VL9,0.248587571,0.170807453,-0.077780117,0.005701885,"(-0.13292534629897568, -0.0226348881116641)",Disminucin
VL10,0.020715631,0.01552795,-0.005187681,0.575173177,"(-0.02332968106262954, 0.012954319913502725)",Nulo
VL12,0.389830508,0.186335404,-0.203495105,1.90E-11,"(-0.26290512983204994, -0.14408507966368647)",Disminucin
VL13,0.354048964,0.263975155,-0.090073809,0.005093724,"(-0.15310076970599767, -0.02704684817190757)",Disminucin
VL14,0.058380414,0.083850932,0.025470517,0.168483614,"(-0.010780709280192646, 0.06172174400899452)",Nulo
VL15,0.171374765,0.130434783,-0.040939982,0.100047053,"(-0.08972974434952101, 0.007849780376705126)",Nulo
VL16,0.02259887,0.02484472,0.00224585,0.835406237,"(-0.018939705746724454, 0.02343140662751892)",Nulo
VL17,0.024482109,0.037267081,0.012784972,0.306635598,"(-0.011726337257951774, 0.03729628029289113)",Nulo
VL18,0.011299435,0.00931677,-0.001982665,0.778537083,"(-0.015800562269979293, 0.011835232586152926)",Nulo
VL19,0.02259887,0.02173913,-0.00085974,0.933958274,"(-0.021194538110287625, 0.01947505886685849)",Nulo
VL20,0.035781544,0.027950311,-0.007831234,0.521647937,"(-0.03178373512640638, 0.01612126773217775)",Nulo
VL21,0.033898305,0.037267081,0.003368776,0.797911483,"(-0.02241780522999007, 0.029155356551181778)",Nulo
VL22,0.009416196,0.01552795,0.006111754,0.448550874,"(-0.009694915672455912, 0.02191842457982628)",Nulo
VL23,0.171374765,0.096273292,-0.075101473,0.001199645,"(-0.12054691826824435, -0.02965602707103116)",Disminucin
